"","p_vals","line","boolean"
"kilometer",0,0.000175438596491228,0
"powerPS",0,0.000350877192982456,0
"vehicleTypeSedan:I(age^2)",0,0.000526315789473684,0
"vehicleTypeSpider:I(age^2)",0,0.000701754385964912,0
"age",3.56737993647818e-224,0.00087719298245614,0
"vehicleTypeCoupe:I(age^2)",4.7190986698365e-189,0.00105263157894737,0
"vehicleTypeBus:I(age^2)",5.29560544783633e-161,0.0012280701754386,0
"vehicleTypeSUV:I(age^2)",1.41558912490956e-147,0.00140350877192982,0
"age:vehicleTypeOther",8.56131985839069e-147,0.00157894736842105,0
"vehicleTypeStation:I(age^2)",5.03922204474467e-128,0.00175438596491228,0
"age:vehicleTypeSmall",5.75449690664609e-92,0.00192982456140351,0
"vehicleTypeCoupe:brandporsche",1.21018549562437e-51,0.00210526315789474,0
"vehicleTypeSpider:brandjaguar",1.24345736468926e-50,0.00228070175438597,0
"(Intercept)",1.52807234750458e-40,0.00245614035087719,0
"vehicleTypeCoupe:brandsonstige_autos",1.31940189093668e-29,0.00263157894736842,0
"vehicleTypeSmall:I(age^2)",1.97761865411476e-21,0.00280701754385965,0
"vehicleTypeOther",1.1629826107803e-15,0.00298245614035088,0
"age:vehicleTypeSpider",1.09567851278148e-14,0.00315789473684211,0
"vehicleTypeSmall",1.26377931376125e-13,0.00333333333333333,0
"age:vehicleTypeSedan",8.25172221761991e-12,0.00350877192982456,0
"vehicleTypeSUV:brandmercedes_benz",1.15458742117196e-11,0.00368421052631579,0
"vehicleTypeSpider:brandporsche",7.04981277705994e-09,0.00385964912280702,0
"age:vehicleTypeStation",3.79725962419222e-07,0.00403508771929825,0
"vehicleTypeSUV:brandtoyota",5.02277152856417e-07,0.00421052631578947,0
"vehicleTypeOther:brandporsche",1.04392975251395e-06,0.0043859649122807,0
"brandland_rover",6.17670037037784e-06,0.00456140350877193,0
"vehicleTypeSpider:brandvolvo",2.07899105049913e-05,0.00473684210526316,0
"brandporsche",2.817745320379e-05,0.00491228070175439,0
"vehicleTypeSUV:brandsonstige_autos",0.000281156943398638,0.00508771929824561,0
"vehicleTypeSedan",0.000324544388770228,0.00526315789473684,0
"branddacia",0.000777626582643516,0.00543859649122807,0
"vehicleTypeStation:brandchrysler",0.000833468117296428,0.0056140350877193,0
"vehicleTypeSedan:brandlancia",0.000866070537362006,0.00578947368421053,0
"vehicleTypeStation:brandskoda",0.000921485779901559,0.00596491228070176,0
"vehicleTypeSUV:brandmitsubishi",0.00148187299588113,0.00614035087719298,0
"vehicleTypeStation:brandopel",0.00405697882090014,0.00631578947368421,0
"vehicleTypeStation:brandpeugeot",0.00440927001796434,0.00649122807017544,0
"vehicleTypeSmall:branddacia",0.00510838667422725,0.00666666666666667,0
"vehicleTypeSUV:brandford",0.00619263408384887,0.0068421052631579,0
"vehicleTypeSpider",0.00644742625285218,0.00701754385964912,0
"vehicleTypeSedan:brandnissan",0.00658972902205384,0.00719298245614035,0
"vehicleTypeSedan:brandskoda",0.00700542106859378,0.00736842105263158,0
"vehicleTypeStation:brandfiat",0.00723951949763031,0.00754385964912281,0
"brandkia",0.00727795329742469,0.00771929824561404,0
